method,location,code,level,leb,prediction,abs(deviation),abs(%deviation)
RR,Wolfenbüttel_DEU_3,DEU,3,81.23,77.7058251039528,3.5241748960472,4.33851396780401
RR,Woudenberg_NLD_2,NLD,2,82.9,80.5093843163983,2.39061568360172,2.88373423836155
RR,Würzburg_DEU_3,DEU,3,83.12,81.3287417777192,1.79125822228083,2.15502673517906
RR,Zaanstad_NLD_2,NLD,2,81.2,84.9071031493185,3.70710314931848,4.56539796714099
RR,Zadar_HRV_1,HRV,1,78.74,78.3607561909585,0.37924380904154,0.481640600763958
RR,Zaire_AGO_1,AGO,1,66.19,62.7040524789011,3.48594752109891,5.26657730941066
RR,Zaltbommel_NLD_2,NLD,2,82.3,80.3336362748903,1.96636372510967,2.38926333549171
RR,Zambia_ZMB_0,ZMB,0,62.79,63.219592543046,0.429592543045992,0.684173503815881
RR,Zandvoort_NLD_2,NLD,2,79.9,79.9795462236572,0.0795462236571893,0.0995572261041168
RR,Zanzibar North_TZA_1,TZA,1,69.52,65.2526909954493,4.26730900455067,6.13824655430188
RR,Zanzibar South & Central_TZA_1,TZA,1,71.53,70.4232940652781,1.10670593472194,1.54719129696903
RR,Zanzibar Urban/West_TZA_1,TZA,1,70.41,70.3485305477478,0.0614694522522399,0.0873021619830136
RR,Zeeland_NLD_1,NLD,1,82.45,81.6275214997427,0.822478500257276,0.997548211349031
RR,Zeewolde_NLD_2,NLD,2,84.7,81.1903438300667,3.50965616993327,4.14363184171578
RR,Zeist_NLD_2,NLD,2,80.8,82.2588554459827,1.45885544598272,1.8055141658202
RR,Zevenaar_NLD_2,NLD,2,81.9,80.6370986153576,1.26290138464235,1.54200413265244
RR,Ziguinchor_SEN_1,SEN,1,68.64,64.804691717068,3.83530828293199,5.58757034226689
RR,Zimbabwe_ZWE_0,ZWE,0,61.29,64.2129113738082,2.92291137380818,4.76898576245421
RR,Zinder/Diffa_NER_1,NER,1,62.19,65.2021461377376,3.01214613773763,4.8434573689301
RR,Zoetermeer_NLD_2,NLD,2,82.4,83.5609361685165,1.16093616851653,1.40890311713171
RR,Zollernalbkreis_DEU_3,DEU,3,82.1,81.0489887182842,1.05101128171576,1.2801599046477
RR,Zuid-Holland_NLD_1,NLD,1,82.05,81.1033705144697,0.946629485530266,1.15372271240739
RR,Zundert_NLD_2,NLD,2,81.4,82.4125945654199,1.0125945654199,1.24397366759202
RR,Zürich_CHE_1,CHE,1,83.73,79.9883611887585,3.74163881124153,4.46869558251705
RR,Zutphen_NLD_2,NLD,2,80.4,79.7269353026894,0.673064697310565,0.837145145908663
RR,Zwartewaterland_NLD_2,NLD,2,82,85.4388351552531,3.43883515525314,4.1937014088453
RR,Zwickau_DEU_3,DEU,3,80.37,81.5663870419606,1.19638704196059,1.48859903192807
RR,Zwolle_NLD_2,NLD,2,81.4,82.5312794514913,1.13127945149132,1.38977819593529
